name,platform,r-date,score,user score,developer,genre,players,critics,users
SSX Tricky,PlayStation2,2001-11-05,92,8.8,EACanada,"Sports,Alternative,Snowboarding",,33,100
NHL 2002,PlayStation2,2001-09-24,92,8.3,EASports,"Sports,Traditional,Ice Hockey,Sim",,22,26
Guitar Hero II,Xbox360,2007-04-03,92,8.1,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",,55,236
Prince of Persia: The Sands of Time,PlayStation2,2003-11-06,92,8.8,Ubisoft,"Action Adventure,Fantasy",,44,327
Uncharted 3: Drake's Deception,PlayStation3,2011-11-01,92,8.4,NaughtyDog,"Action Adventure,Modern,Modern,Linear",,97,4611
Rock Band,Xbox360,2007-11-20,92,8.0,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",,72,187
Journey,PlayStation4,2015-07-21,92,8.3,TrickyPixels,"Action,Platformer,3D",2.0,45,2233
Bloodborne,PlayStation4,2015-03-24,92,8.9,FromSoftware,"Fantasy,Role-Playing,Action Adventure,General,Action RPG",,100,10394
Eternal Darkness: Sanity's Requiem,GameCube,2002-06-23,92,8.7,SiliconKnights,"Action Adventure,Horror",,41,219
Warcraft III: Reign of Chaos,PC,2002-07-03,92,9.2,BlizzardEntertainment,"Strategy,Real-Time,Fantasy,General,Fantasy",,40,2041
SSX 3,GameCube,2003-10-20,92,8.7,EACanada,"Sports,Alternative,Snowboarding",,27,54
The Sims,PC,2000-02-04,92,7.9,Maxis,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",,38,665
Banjo-Kazooie,Nintendo64,1998-05-31,92,9.1,RareLtd.,"Action,Platformer,3D",,19,472
Sid Meier's Gettysburg!,PC,1997-09-30,92,7.4,FiraxisGames,"Strategy,Real-Time,Wargame,Real-Time,General",,7,40
Celeste,Switch,2018-01-25,92,8.5,MattMakesGamesInc.,"Action,Platformer,2D",,36,835
Rock Band 2,Wii,2008-12-18,92,7.2,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",,10,50
Forza Motorsport,Xbox,2005-05-03,92,7.6,MicrosoftGameStudios,"Driving,Racing,GT / Street",,73,235
Madden NFL 2004,Xbox,2003-08-12,92,7.6,EATiburon,"Sports,Traditional,Football,Sim",,27,52
Super Street Fighter IV,PlayStation3,2010-04-27,92,7.8,Capcom,"Action,Fighting,Fighting,3D,2D,3D",,58,221
World Soccer Winning Eleven 7 International,PC,2004-04-09,92,6.8,KCET,"Sports,Traditional,Team,Soccer,Sim,Sim",,7,80
Advance Wars,GameBoyAdvance,2001-09-09,92,8.9,IntelligentSystems,"Strategy,Turn-Based,Modern",,28,134
Vagrant Story,PlayStation,2000-05-15,92,9.1,SquareSoft,"Role-Playing,Action RPG",,19,206
What Remains of Edith Finch,XboxOne,2017-07-19,92,7.7,GiantSparrow,"Adventure,3D,First-Person",,12,203
Team Fortress 2,PC,2007-10-10,92,9.1,ValveSoftware,"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern",,17,6724
System Shock 2,PC,1999-08-11,92,9.1,"LookingGlassStudios,IrrationalGames","Action Adventure,Sci-Fi,Sci-Fi,Survival",,20,638
Tom Clancy's Splinter Cell: Chaos Theory,PC,2005-03-28,92,8.7,UbisoftMontreal,"Action Adventure,Modern,General,Modern",,36,500
Final Fantasy XII,PlayStation2,2006-10-31,92,7.6,SquareEnix,"Role-Playing,Console-style RPG",,64,1432
Undertale,PlayStation4,2017-08-15,92,6.9,"tobyfox,8-4","Role-Playing,Japanese-Style",,18,755
Madden NFL 2003,GameCube,2002-08-12,92,7.4,EASports,"Sports,Traditional,Football,Sim",,13,18
