,score,score,score,score,user score,user score,players,players,players
,mean,median,count,std,mean,median,sum,mean,max
genre,,,,,,,,,
"Action,Action Adventure,General,Linear",66.33333333333333,64.0,3,4.932882862316246,7.2,7.1,0.0,,
"Action,Action Adventure,General,Modern,Modern,Open-World",55.0,55.0,1,,7.5,7.5,0.0,,
"Action,Action Adventure,General,Modern,Open-World",49.0,49.0,1,,5.6,5.6,0.0,,
"Action,Action Adventure,General,Modern,Shooter,First-Person,Modern,Arcade",65.0,65.0,1,,,,0.0,,
"Action,Action Adventure,General,Open-World",62.44444444444444,57.0,9,11.303883305208773,5.411111111111111,5.5,0.0,,
"Action,Action Adventure,General,Platformer,2D",80.875,82.5,8,4.998213966722799,7.8,7.75,0.0,,
"Action,Action Adventure,General,Sci-Fi,General",72.0,72.0,1,,8.3,8.3,0.0,,
"Action,Action Adventure,General,Shooter,Sci-Fi,Sci-Fi,Shooter,Third-Person,Tactical,Sci-Fi",72.0,72.0,1,,8.3,8.3,0.0,,
"Action,Action Adventure,General,Survival",64.25,60.0,4,11.786291472158096,5.9,5.449999999999999,0.0,,
"Action,Action Adventure,Horror,Horror,Beat-'Em-Up,Survival,3D",63.0,63.0,1,,8.3,8.3,0.0,,
"Action,Action Adventure,Horror,Horror,Shooter,Light Gun",80.5,80.5,2,2.1213203435596424,7.35,7.35,0.0,,
"Action,Action Adventure,Horror,Horror,Shooter,Survival,Third-Person,Tactical",65.0,65.0,1,,6.6,6.6,2.0,2.0,2.0
"Action,Action Adventure,Horror,Horror,Shooter,Third-Person,Arcade",48.0,48.0,1,,4.2,4.2,0.0,,
"Action,Action Adventure,Modern,General,Shooter,First-Person,Tactical",64.0,64.0,1,,8.3,8.3,0.0,,
"Action,Action Adventure,Modern,Shooter,Scrolling,Shoot-'Em-Up,Vertical",65.0,65.0,1,,6.4,6.4,0.0,,
"Action,Action Adventure,Open-World,Shooter,Shooter,Scrolling,Shoot-'Em-Up,Scrolling,Horizontal",76.0,76.0,1,,7.9,7.9,0.0,,
"Action,Action Adventure,Pinball,Survival",54.0,54.0,1,,6.8,6.8,0.0,,
"Action,Action Adventure,Platformer,Fantasy,Platformer,2D,2D",81.5,81.5,2,14.849242404917497,7.4,7.4,0.0,,
"Action,Action Adventure,Platformer,General,Fantasy,3D",67.0,67.0,1,,6.4,6.4,0.0,,
"Action,Action Adventure,Platformer,General,Historic,3D",42.0,42.0,1,,5.0,5.0,0.0,,
"Action,Action Adventure,Platformer,General,Platformer,2D,2D",79.0,79.0,2,4.242640687119285,7.6,7.6,0.0,,
"Action,Action Adventure,Platformer,General,Platformer,3D,3D",62.81818181818182,62.0,11,7.985213607890297,6.463636363636363,7.0,0.0,,
"Action,Action Adventure,Platformer,Linear,2D",73.0,73.0,3,1.0,6.033333333333334,6.0,0.0,,
"Action,Action Adventure,Platformer,Linear,3D",75.5,75.5,2,6.363961030678928,7.15,7.15,0.0,,
"Action,Action Adventure,Platformer,Open-World,2D",70.66666666666667,72.0,6,10.132456102380443,6.95,7.3,0.0,,
"Action,Action Adventure,Platformer,Open-World,3D",80.0,80.0,2,0.0,8.1,8.1,0.0,,
"Action,Action Adventure,Platformer,Platformer,Linear,3D,3D",66.5,66.5,2,7.7781745930520225,8.5,8.5,0.0,,
"Action,Action Adventure,Platformer,Platformer,Open-World,2D,2D",87.0,87.0,1,,7.5,7.5,0.0,,
"Action,Action Adventure,Platformer,Platformer,Open-World,3D,3D",83.0,83.0,1,,8.5,8.5,0.0,,
"Action,Action Adventure,Platformer,Platformer,Sandbox,2D,2D",82.5,82.0,4,1.9148542155126762,8.0,8.0,0.0,,
"Action,Action Adventure,Sci-Fi,Fighting,General,3D",44.0,44.0,1,,7.3,7.3,0.0,,
"Action,Action Adventure,Sci-Fi,General",76.0,76.0,1,,7.1,7.1,0.0,,
"Action,Action Adventure,Sci-Fi,Sci-Fi,General,Platformer,2D",61.0,61.0,1,,5.0,5.0,0.0,,
"Action,Action Adventure,Sci-Fi,Sci-Fi,General,Shooter,First-Person,Third-Person,Arcade",56.666666666666664,59.0,3,4.04145188432738,6.666666666666667,6.0,0.0,,
"Action,Action Adventure,Sci-Fi,Sci-Fi,General,Shooter,Third-Person,Arcade",65.5,68.5,6,13.838352503098049,7.966666666666666,8.149999999999999,0.0,,
"Action,Action Adventure,Sci-Fi,Sci-Fi,General,Shooter,Third-Person,Tactical",71.0,71.0,2,4.242640687119285,7.9,7.9,0.0,,
"Action,Action Adventure,Sci-Fi,Sci-Fi,Shooter,Shoot-'Em-Up,Horizontal",55.0,55.0,1,,5.3,5.3,0.0,,
"Action,Action Adventure,Shooter,Beat-'Em-Up,Linear,Third-Person,3D,Arcade",60.0,60.0,1,,6.2,6.2,0.0,,
"Action,Action Adventure,Shooter,Beat-'Em-Up,Open-World,Third-Person,2D,3D,Fantasy",75.0,75.0,1,,7.3,7.3,0.0,,
"Action,Action Adventure,Shooter,Fantasy,General,Fantasy,Linear,Third-Person,Fantasy",84.0,84.0,1,,8.4,8.4,0.0,,
"Action,Action Adventure,Shooter,Fantasy,General,Fantasy,Third-Person,Fantasy",68.0,68.0,1,,7.3,7.3,0.0,,
"Action,Action Adventure,Shooter,General,Fantasy,Third-Person,Fantasy",59.0,59.0,1,,5.9,5.9,0.0,,
"Action,Action Adventure,Shooter,General,Modern,Third-Person,Historic",54.0,54.0,1,,6.9,6.9,0.0,,
"Action,Action Adventure,Shooter,General,Modern,Third-Person,Modern",61.0,61.0,1,,7.1,7.1,0.0,,
